count;date
83508;17/9/2017
117909;18/9/2017
123536;19/9/2017
122725;20/9/2017
122040;21/9/2017
111905;22/9/2017
81426;23/9/2017
82678;24/9/2017
119782;25/9/2017
126242;26/9/2017
125059;27/9/2017
123198;28/9/2017
114622;29/9/2017
83862;30/9/2017
81077;1/10/2017
115833;2/10/2017
120864;3/10/2017
121351;4/10/2017
119817;5/10/2017
118256;6/10/2017
82890;7/10/2017
91576;8/10/2017
122788;9/10/2017
130206;10/10/2017
129398;11/10/2017
124299;12/10/2017
116897;13/10/2017
80151;14/10/2017
87218;15/10/2017
121629;16/10/2017
126940;17/10/2017
126034;18/10/2017
126144;19/10/2017
119408;20/10/2017
85616;21/10/2017
91643;22/10/2017
127621;23/10/2017
125807;24/10/2017
126782;25/10/2017
125051;26/10/2017
117356;27/10/2017
83146;28/10/2017
